"MatchId";"Team";"Min";"Pts";"O";"D";"T";"As";"St";"To";"Fv";"Ag";"Cm";"Rv";"PIR";"x2M";"x2A";"x3M";"x3A";"FTM";"FTA";"Opponent";"Local"
1;"Khimki Moscow Region";200;89;13;25;38;18;10;10;1;3;25;21;93;13;32;14;35;21;27;"Maccabi FOX Tel Aviv";1
10;"CSKA Moscow";200;79;16;24;40;17;8;9;3;6;16;21;91;17;37;12;34;9;13;"FC Bayern Munich";1
100;"CSKA Moscow";225;85;5;25;30;15;6;8;5;2;24;20;84;22;41;9;27;14;20;"Zalgiris Kaunas";1
101;"Maccabi FOX Tel Aviv";200;77;10;27;37;12;11;9;4;3;20;18;86;23;46;7;22;10;13;"FC Bayern Munich";1
102;"AX Armani Exchange Milan";200;67;8;23;31;13;2;4;3;6;17;22;69;14;30;7;30;18;21;"Crvena Zvezda mts Belgrade";1
103;"Real Madrid";200;111;7;22;29;30;4;8;7;2;21;22;144;21;35;17;29;18;20;"Valencia Basket";1
104;"Zenit St Petersburg";200;75;6;24;30;21;7;11;3;1;17;23;95;17;33;10;20;11;20;"LDLC ASVEL Villeurbanne";1
105;"Khimki Moscow Region";200;94;6;18;24;23;8;12;5;2;24;17;102;21;34;12;29;16;17;"FC Barcelona";1
106;"Fenerbahce Beko Istanbul";225;107;9;24;33;23;5;16;1;1;25;28;123;23;37;11;26;28;31;"ALBA Berlin";1
107;"Panathinaikos OPAP Athens";225;99;11;30;41;11;6;5;4;3;25;22;101;25;48;10;33;19;22;"Olympiacos Piraeus";1
108;"KIROLBET Baskonia Vitoria-Gasteiz";200;77;13;20;33;17;4;10;1;3;14;15;78;19;45;10;25;9;10;"Anadolu Efes Istanbul";1
109;"Khimki Moscow Region";200;104;8;23;31;24;10;7;3;0;21;19;130;28;42;9;25;21;24;"ALBA Berlin";1
11;"Crvena Zvezda mts Belgrade";200;68;15;25;40;16;4;14;4;3;22;23;79;17;38;6;16;16;22;"Fenerbahce Beko Istanbul";1
110;"Fenerbahce Beko Istanbul";200;73;8;19;27;18;6;13;1;0;16;15;76;19;35;10;26;5;8;"Anadolu Efes Istanbul";1
111;"Crvena Zvezda mts Belgrade";200;64;15;23;38;14;8;14;3;5;19;21;66;15;35;5;22;19;26;"KIROLBET Baskonia Vitoria-Gasteiz";1
112;"Maccabi FOX Tel Aviv";200;90;5;20;25;17;9;10;2;1;19;18;99;20;34;12;27;14;17;"CSKA Moscow";1
113;"Real Madrid";200;93;10;21;31;17;4;12;1;0;16;18;100;18;34;15;33;12;14;"Olympiacos Piraeus";1
114;"Zalgiris Kaunas";200;82;9;15;24;18;9;12;0;1;20;19;89;28;41;6;21;8;10;"Valencia Basket";1
115;"FC Bayern Munich";200;77;7;26;33;16;6;16;1;1;24;20;88;19;35;8;14;15;17;"Zenit St Petersburg";1
116;"LDLC ASVEL Villeurbanne";200;89;15;24;39;15;6;8;2;2;26;22;97;23;43;8;22;19;25;"AX Armani Exchange Milan";1
117;"FC Barcelona";200;98;13;26;39;20;4;11;1;1;16;22;120;22;35;13;32;15;19;"Panathinaikos OPAP Athens";1
118;"Zenit St Petersburg";200;71;17;20;37;14;8;18;1;4;21;18;62;16;36;9;31;12;14;"Maccabi FOX Tel Aviv";1
119;"Zalgiris Kaunas";200;68;13;19;32;18;5;13;2;2;17;21;76;15;32;9;27;11;14;"Anadolu Efes Istanbul";1
12;"LDLC ASVEL Villeurbanne";200;79;18;18;36;18;8;13;3;3;21;19;85;23;46;7;22;12;15;"Panathinaikos OPAP Athens";1
120;"Real Madrid";200;76;8;24;32;21;5;7;4;1;18;22;94;20;37;8;28;12;15;"AX Armani Exchange Milan";1
