"MatchId";"Opponent";"Team";"Min.x";"Pts";"O";"D";"T";"As";"St";"To";"Fv";"Ag";"Cm";"Rv";"PIR";"x2M";"x2A";"x3M";"x3A";"FTM";"FTA";"Local";"Min.y";"Pts_Opp";"O_Opp";"D_Opp";"T_Opp";"As_Opp";"St_Opp";"To_Opp";"Fv_Opp";"Ag_Opp";"Cm_Opp";"Rv_Opp";"PIR_Opp";"x2M_Opp";"x2A_Opp";"x3M_Opp";"x3A_Opp";"FTM_Opp";"FTA_Opp";"Poss";"Off_Rat";"Def_Rat";"eFG";"eFG_Opp";"TS";"TS_Opp";"Off_Reb";"Def_Reb";"Pct_ass";"Pct_ass_opp";"Pct_To";"Pct_To_opp";"FTR";"FTR_opp";"Win";"Expected_Wins";"Off_Reb_Opp"
1;"Khimki Moscow Region";"Maccabi FOX Tel Aviv";200;83;10;29;39;15;6;15;3;1;22;23;93;26;40;4;22;19;25;0;200;89;13;25;38;18;10;10;1;3;25;21;93;13;32;14;35;21;27;77;1,07792207792208;1,15584415584416;0,516129032258065;0,507462686567164;1,13698630136986;1,12829614604462;0,285714285714286;0,69047619047619;0,194805194805195;0,233766233766234;0,194805194805195;0,12987012987013;0,306451612903226;0,313432835820896;0;0,273459506085863;0,30952380952381
1;"Maccabi FOX Tel Aviv";"Khimki Moscow Region";200;89;13;25;38;18;10;10;1;3;25;21;93;13;32;14;35;21;27;1;200;83;10;29;39;15;6;15;3;1;22;23;93;26;40;4;22;19;25;74,8;1,18983957219251;1,1096256684492;0,507462686567164;0,516129032258065;1,12829614604462;1,13698630136986;0,30952380952381;0,714285714285714;0,240641711229947;0,200534759358289;0,133689839572193;0,200534759358289;0,313432835820896;0,306451612903226;1;0,726540493914138;0,285714285714286
10;"CSKA Moscow";"FC Bayern Munich";200;68;8;26;34;14;3;11;6;3;21;16;70;21;43;4;13;14;19;0;200;79;16;24;40;17;8;9;3;6;16;21;91;17;37;12;34;9;13;66,6;1,02102102102102;1,18618618618619;0,482142857142857;0,492957746478873;1,05655686761964;1,02971845672576;0,25;0,619047619047619;0,21021021021021;0,255255255255255;0,165165165165165;0,135135135135135;0,25;0,126760563380282;0;0,109178291005969;0,380952380952381
10;"FC Bayern Munich";"CSKA Moscow";200;79;16;24;40;17;8;9;3;6;16;21;91;17;37;12;34;9;13;1;200;68;8;26;34;14;3;11;6;3;21;16;70;21;43;4;13;14;19;69,2;1,14161849710983;0,982658959537572;0,492957746478873;0,482142857142857;1,02971845672576;1,05655686761964;0,380952380952381;0,75;0,245664739884393;0,202312138728324;0,130057803468208;0,158959537572254;0,126760563380282;0,25;1;0,890821708994031;0,25
100;"CSKA Moscow";"Zalgiris Kaunas";225;82;15;33;48;12;1;15;2;5;20;24;86;24;51;6;18;16;20;0;225;85;5;25;30;15;6;8;5;2;24;20;84;22;41;9;27;14;20;77;1,06493506493506;1,1038961038961;0,478260869565217;0,522058823529412;1,05398457583548;1,10677083333333;0,375;0,868421052631579;0,155844155844156;0,194805194805195;0,194805194805195;0,103896103896104;0,231884057971014;0,205882352941176;0;0,376824614966282;0,131578947368421
100;"Zalgiris Kaunas";"CSKA Moscow";225;85;5;25;30;15;6;8;5;2;24;20;84;22;41;9;27;14;20;1;225;82;15;33;48;12;1;15;2;5;20;24;86;24;51;6;18;16;20;79;1,07594936708861;1,0379746835443;0,522058823529412;0,478260869565217;1,10677083333333;1,05398457583548;0,131578947368421;0,625;0,189873417721519;0,151898734177215;0,10126582278481;0,189873417721519;0,205882352941176;0,231884057971014;1;0,623175385033718;0,375
101;"FC Bayern Munich";"Maccabi FOX Tel Aviv";200;77;10;27;37;12;11;9;4;3;20;18;86;23;46;7;22;10;13;1;200;55;4;27;31;10;5;19;3;4;18;20;49;12;28;4;19;19;22;72,2;1,06648199445983;0,761772853185596;0,492647058823529;0,382978723404255;1,04449267498644;0,970359915314044;0,27027027027027;0,870967741935484;0,166204986149584;0,138504155124654;0,124653739612188;0,263157894736842;0,147058823529412;0,404255319148936;1;0,991080990088942;0,129032258064516
101;"Maccabi FOX Tel Aviv";"FC Bayern Munich";200;55;4;27;31;10;5;19;3;4;18;20;49;12;28;4;19;19;22;0;200;77;10;27;37;12;11;9;4;3;20;18;86;23;46;7;22;10;13;70,8;0,77683615819209;1,08757062146893;0,382978723404255;0,492647058823529;0,970359915314044;1,04449267498644;0,129032258064516;0,72972972972973;0,141242937853107;0,169491525423729;0,268361581920904;0,127118644067797;0,404255319148936;0,147058823529412;0;0,00891900991105782;0,27027027027027
102;"AX Armani Exchange Milan";"Crvena Zvezda mts Belgrade";200;77;9;31;40;13;3;10;6;3;22;17;87;18;39;10;22;11;12;0;200;67;8;23;31;13;2;4;3;6;17;22;69;14;30;7;30;18;21;66,8;1,15269461077844;1,00299401197605;0,540983606557377;0,408333333333333;1,16173808086904;0,967648757943385;0,28125;0,794871794871795;0,194610778443114;0,194610778443114;0,149700598802395;0,0598802395209581;0,180327868852459;0,3;1;0,875182441984036;0,205128205128205
102;"Crvena Zvezda mts Belgrade";"AX Armani Exchange Milan";200;67;8;23;31;13;2;4;3;6;17;22;69;14;30;7;30;18;21;1;200;77;9;31;40;13;3;10;6;3;22;17;87;18;39;10;22;11;12;64,4;1,04037267080745;1,19565217391304;0,408333333333333;0,540983606557377;0,967648757943385;1,16173808086904;0,205128205128205;0,71875;0,201863354037267;0,201863354037267;0,062111801242236;0,15527950310559;0,3;0,180327868852459;0;0,124817558015964;0,28125
